block_id,command,elapsed_seconds,execution_mode,exit_code,expected_repetitions,git_sha,host_arch,phase,repetition,runner_image_os,runner_image_version,runner_label,schema_version,started_at,target_arch,trial_class,workload
33791565338.1,"[""docker"",""buildx"",""build"",""--builder"",""builder-9781cb2f-e1b7-46e3-91a7-36e8d59269c8"",""--platform"",""linux/arm64"",""--target"",""benchmark"",""--build-arg"",""BENCHMARK_ITERATION=33791565338-1-1"",""--provenance=false"",""--sbom=false"",""--output"",""type=cacheonly"",""--progress"",""plain"",""workloads/brotli""]",24.798663892,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,build-test,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:37:27.969630Z,arm64,retained,brotli
33791565338.1,"[""workflow-step-outcomes"",""success"",""success""]",0.0,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,verification,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:37:53.327609Z,arm64,retained,brotli
33791565338.1,[],0.0,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,attempt,1,ubuntu24,20260823.283.1,ubuntu-24.04,2,2026-09-03T18:37:05.794812Z,arm64,retained,brotli
33791565338.1,"[""python3"",""scripts/fetch_fixture.py"",""brotli"",""workloads/brotli""]",0.11693459,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,fetch,1,ubuntu24,20260823.283.1,ubuntu-24.04,2,2026-09-03T18:37:12.937479Z,arm64,retained,brotli
33791565338.1,"[""docker"",""buildx"",""build"",""--builder"",""builder-c833fbe1-f815-4e73-9a99-6e297b6c2f53"",""--platform"",""linux/arm64"",""--target"",""prepared"",""--provenance=false"",""--sbom=false"",""--output"",""type=cacheonly"",""--progress"",""plain"",""workloads/brotli""]",11.69372439,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,prepare,1,ubuntu24,20260823.283.1,ubuntu-24.04,2,2026-09-03T18:37:13.174339Z,arm64,retained,brotli
33791565338.1,"[""docker"",""buildx"",""build"",""--builder"",""builder-c833fbe1-f815-4e73-9a99-6e297b6c2f53"",""--platform"",""linux/arm64"",""--target"",""benchmark"",""--build-arg"",""BENCHMARK_ITERATION=33791565338-1-1"",""--provenance=false"",""--sbom=false"",""--output"",""type=cacheonly"",""--progress"",""plain"",""workloads/brotli""]",318.929703079,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,build-test,1,ubuntu24,20260823.283.1,ubuntu-24.04,2,2026-09-03T18:37:24.928901Z,arm64,retained,brotli
33791565338.1,"[""workflow-step-outcomes"",""success"",""success""]",0.0,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,verification,1,ubuntu24,20260823.283.1,ubuntu-24.04,2,2026-09-03T18:42:44.923752Z,arm64,retained,brotli
33793446944.1,[],0.0,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,attempt,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:56:16.116495Z,arm64,retained,cpython
33793446944.1,"[""python3"",""scripts/fetch_fixture.py"",""cpython"",""workloads/cpython""]",0.391459995,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,fetch,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:56:28.923825Z,arm64,retained,cpython
33793446944.1,"[""docker"",""buildx"",""build"",""--builder"",""builder-53459c84-6fbb-407a-a82c-6b06cd5ab76d"",""--platform"",""linux/arm64"",""--target"",""prepared"",""--provenance=false"",""--sbom=false"",""--output"",""type=cacheonly"",""--progress"",""plain"",""workloads/cpython""]",15.597941328,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,prepare,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:56:29.461387Z,arm64,retained,cpython
33793446944.1,"[""docker"",""buildx"",""build"",""--builder"",""builder-53459c84-6fbb-407a-a82c-6b06cd5ab76d"",""--platform"",""linux/arm64"",""--target"",""benchmark"",""--build-arg"",""BENCHMARK_ITERATION=33793446944-1-1"",""--provenance=false"",""--sbom=false"",""--output"",""type=cacheonly"",""--progress"",""plain"",""workloads/cpython""]",89.929575409,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,build-test,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:56:45.122655Z,arm64,retained,cpython
33793446944.1,"[""workflow-step-outcomes"",""success"",""success""]",0.0,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,verification,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:58:15.671515Z,arm64,retained,cpython
33793446944.1,[],0.0,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,attempt,1,ubuntu24,20260831.293.1,ubuntu-24.04,2,2026-09-03T18:56:12.493813Z,arm64,retained,cpython
33793446944.1,"[""python3"",""scripts/fetch_fixture.py"",""cpython"",""workloads/cpython""]",0.26503782,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,fetch,1,ubuntu24,20260831.293.1,ubuntu-24.04,2,2026-09-03T18:56:20.269773Z,arm64,retained,cpython
33793446944.1,"[""docker"",""buildx"",""build"",""--builder"",""builder-603501e2-d5c9-490c-bad7-d09ddec0b2ae"",""--platform"",""linux/arm64"",""--target"",""prepared"",""--provenance=false"",""--sbom=false"",""--output"",""type=cacheonly"",""--progress"",""plain"",""workloads/cpython""]",16.91838284,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,prepare,1,ubuntu24,20260831.293.1,ubuntu-24.04,2,2026-09-03T18:56:20.704341Z,arm64,retained,cpython
33793446944.1,"[""docker"",""buildx"",""build"",""--builder"",""builder-603501e2-d5c9-490c-bad7-d09ddec0b2ae"",""--platform"",""linux/arm64"",""--target"",""benchmark"",""--build-arg"",""BENCHMARK_ITERATION=33793446944-1-1"",""--provenance=false"",""--sbom=false"",""--output"",""type=cacheonly"",""--progress"",""plain"",""workloads/cpython""]",1900.795230903,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,build-test,1,ubuntu24,20260831.293.1,ubuntu-24.04,2,2026-09-03T18:56:37.686433Z,arm64,retained,cpython
33793446944.1,"[""workflow-step-outcomes"",""success"",""success""]",0.0,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,verification,1,ubuntu24,20260831.293.1,ubuntu-24.04,2,2026-09-03T19:28:19.860178Z,arm64,retained,cpython
33793453246.1,[],0.0,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,attempt,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:56:19.257299Z,arm64,retained,cpython
33793453246.1,"[""python3"",""scripts/fetch_fixture.py"",""cpython"",""workloads/cpython""]",0.561048259,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,fetch,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:56:27.237982Z,arm64,retained,cpython
